"1"|"Country"
"2"|"Golf-PGA"
"3"|"Life Savers"
"4"|"Candy & Nuts"
"5"|"Cans: Non-US"
"6"|"Individual Cards"
"7"|"Magic the Gathering"
"8"|"Magic, Gaming Cards (CCG)"
"9"|"Native American"
"10"|"Ethnographic"
"11"|"Self-Help"
"12"|"Textbooks, Education"
"13"|"Vintage (1977-89)"
"14"|"Wrestling"
"15"|"Other Ethnic, Tribal"
"16"|"Ethnic, Tribal Jewelry"
"17"|"Hollow Ware"
"18"|"San Francisco Music Box"
"19"|"Nutcrackers"
"20"|"Winston"
"21"|"Toasters"
"22"|"Peelers"
"23"|"Betty Boop"
"24"|"Other Birds"
"25"|"Bird"
"26"|"This Little Piggy"
"27"|"Other Willitts"
"28"|"Poisons"
"29"|"Perfumes"
"30"|"Vanity Items"
"31"|"Mineral Waters"
"32"|"Christmas: Vintage (Pre-1946)"
"33"|"Tender Tails"
"34"|"Other Paper"
"35"|"Swords"
"36"|"Pens, Pencils, Pads"
"37"|"Pins, Buttons"
"38"|"Contemporary (1968-Now)"
"39"|"Disneyana"
"40"|"Bitters"
"41"|"Shelving & Racks"
"42"|"Retail"
"43"|"Instruments"
"44"|"Medical, Dental"
"45"|"Mystery, Suspense"
"46"|"Folk"
"47"|"Suspenders, Braces"
"48"|"Chains, Necklaces"
"49"|"Brushes, Applicators"
"50"|"Calendars"
"51"|"Railroadiana, Trains"
"52"|"Christmas: Current (1991-Now)"
"53"|"Comic Strip Art"
"54"|"Shelia's"
"55"|"Planet of the Apes"
"56"|"Kool"
"57"|"Lucky Strike"
"58"|"Vintage Plastic"
"59"|"Napkins, Placemats"
"60"|"X Files"
"61"|"Decorative by Theme"
"62"|"Blues"
"63"|"True Crime"
"64"|"Soundtracks: Film"
"65"|"Rock: Classic"
"66"|"Retirement"
"67"|"Party, Occasion Supplies"
"68"|"Yo-Yos"
"69"|"Action/Revell"
"70"|"NASCAR"
"71"|"Other Boys Items"
"72"|"Current"
"73"|"Sarah's Attic"
"74"|"Lingerie, Stockings"
"75"|"1940-59"
"76"|"Clothing (Pre-1980)"
"77"|"Vintage Clothing, Accessories"
"78"|"My Blushing Bunnies"
"79"|"Piedmont"
"80"|"Airlines"
"81"|"Aviation"
"82"|"Other Hummel Collectibles"
"83"|"Jewelry"
"84"|"Whiskeys, Gins, Schnapps"
"85"|"Ice Cream Scoops"
"86"|"Illustrated"
"87"|"Antiquities"
"88"|"National Geographic"
"89"|"Portrait"
"90"|"Rock: Hard"
"91"|"Other Shapes"
"92"|"Elizabeth Arden"
"93"|"Walking"
"94"|"Vintage, Antique"
"95"|"Crystal"
"96"|"Crystal, Lampwork & Glass"
"97"|"Beads, Amulets"
"98"|"Face Powder"
"99"|"Rock: Alternative"
"100"|"Ceramics"
"101"|"Pop"
"102"|"Mystery, Adventure"
"103"|"Children"
"104"|"Contemporary (1950-Now)"
"105"|"Adventure"
"106"|"Fiction"
"107"|"Cassettes"
"108"|"Audio"
"109"|"Basketball-NBA"
"110"|"Christmas: Modern (1946-90)"
