121|"Upstate New York"|"USA"
122|"Watauga, Texas"|"USA"
123|"Ripley, Oklahoma."|"USA"
124|"Ralph Lauren Baby"|"USA"
125|"Wallingford, CT"|"USA"
126|"Euclid, Ohio 44123"|"USA"
127|"Frisco"|"USA"
128|"Posterstar"|"USA"
129|"Centrally located Indiana-faster shipping!"|"USA"
130|"Portland NY"|"USA"
131|"HAPPY HOLIDAYS ! BIG LIST OF CHRISMAS COMICS"|"USA"
132|"Concord, CA"|"USA"
133|"Elkhorn Mountains of Montana"|"USA"
134|"Bartlett, TN"|"USA"
135|"Ship unlimited # of items for $3.00 s/h/i"|"USA"
136|"Augusta, Ga. I Combine Shipping!!"|"USA"
137|"HOME SWEET HOME"|"USA"
138|"Raynham, Mass"|"USA"
139|"Fort Walton Beach, FL"|"USA"
140|"Grandview, MO"|"USA"
141|"Smoky Mountains, NC"|"USA"
142|"BARTLETT,TN"|"USA"
143|"South Bristol"|"USA"
144|"Poconos, PA"|"USA"
145|"x, uk"|"United Kingdom"
146|"COTTRELL'S CREATIONS"|"USA"
147|"MARTHA'S VINEYARD"|"USA"
148|"Tewksbury, Ma"|"USA"
149|"Southern US"|"USA"
150|"the Aloha state"|"USA"
151|"Beloved's Boutique, Beverly Hills"|"USA"
152|"Poca, WV"|"USA"
153|"SUNNY TREASURE COAST OF FLORIDA"|"USA"
154|"Southern New Hampshire"|"USA"
155|"Birmingham, MI"|"USA"
156|"Wayne County Indiana"|"USA"
157|"Canada"|"USA"
158|"Vail, AZ"|"USA"
159|"Columbus, oHIo"|"USA"
160|"Louisville, KY"|"USA"
161|"Lisboa"|"Portugal"
162|"Fox Cities, Wi"|"USA"
163|"Davie"|"USA"
164|"Golden State CA"|"USA"
165|"Most payment methods accepted!"|"USA"
166|"Woodinville Washington"|"USA"
167|"NOTTINGHAM."|"United Kingdom"
168|"I ship upon payment confirmation!"|"USA"
169|"WORLDWIDE"|"USA"
170|"corona dle mar ca"|"USA"
171|"Santa Clarita, California"|"USA"
172|"HAPPY HOLIDAYS FROM NORTH DAKOTA!"|"USA"
173|"NEBRASKA-ALSO CHECK OUT MY OTHER AUCTIONS!!"|"USA"
174|"NY-NJ"|"USA"
175|"Near Disneyland, Ca."|"USA"
176|"Wendell Idaho"|"USA"
177|"PARIS"|"France"
178|"66018"|"USA"
179|"Coconut Creek, Florida"|"USA"
180|"Central illinois"|"USA"
181|"Cascade, Montana"|"USA"
182|"Kingston"|"USA"
183|"Massena, NY"|"USA"
184|"ANDREWS TEXAS"|"USA"
185|"Charleston, SC"|"USA"
186|"Norwalk"|"USA"
187|"Hurst, TX"|"USA"
188|"Northeastern Pa"|"USA"
189|"PayPal Preferred at ***Hilo, Hawaii***"|"USA"
190|"Tally"|"USA"
191|"Liberty, PA"|"USA"
192|"KL"|"Malaysia"
193|"SUN CITY CALIFORNIA"|"USA"
194|"Belleville Ont"|"Canada"
195|"Home of the Raptors"|"Canada"
196|"Venice, Fl."|"USA"
197|"Reminiscing"|"USA"
198|"KC Metro Area, Missouri"|"USA"
199|"NYC home of the bravest"|"USA"
200|"Louisville"|"USA"
201|"HOME OF THE HEROES"|"USA"
202|"Franklin, TN."|"USA"
203|"Clive, IA"|"USA"
204|"Bush League Sports Cards"|"USA"
205|"olathe"|"USA"
206|"FAST SHIPPING & GREAT GIFTS"|"USA"
207|"Greenwood, Indiana"|"USA"
208|"Ichiro City"|"USA"
209|"New York, NY"|"USA"
210|"tucson, airozna"|"USA"
211|"Groton,Vermont"|"USA"
212|"Marietta, GA"|"USA"
213|"OTTAWA"|"Canada"
214|"DESIGNER"|"USA"
215|"Near Oceana Navy Base God Bless Our Troops"|"USA"
216|"Carmel IN"|"USA"
217|"Vancouver,B.C."|"Canada"
218|"harrisburg,Il"|"USA"
219|"SLIDELL, LA"|"USA"
220|"Flatbush Brooklyn"|"USA"
221|"Huntington Beach, Ca."|"USA"
222|"jersey"|"USA"
223|"www.buytuxonlinme.com"|"USA"
224|"Southgate, MI"|"USA"
225|"FACTORY DIRECT"|"USA"
226|"Enfield"|"USA"
227|"Rockland County, NY *God Bless America*"|"USA"
228|"ARLINGTON,TEXAS"|"USA"
229|"My Overstuffed Closet in NYC!!"|"USA"
230|"EBAY"|"USA"
231|"Warren, Oh"|"USA"
232|"Lawton--Ft. Sill"|"USA"
233|"Sunny Spring, Texas"|"USA"
234|"Alabama"|"USA"
235|"Sutherlin, Oregon"|"USA"
236|"Check Out My Other Auctions"|"USA"
237|"Hattiesburg, MS"|"USA"
238|"eToyBugs"|"USA"
239|"Livermore, CO"|"USA"
240|"MAD DOG HATS"|"USA"
241|"Lake City, FL"|"USA"
242|"Manton, CA, www.impactgraphicsposters.com"|"USA"
243|"FLORIDA ~~~ 800-981-9064 ~~~8am - 10pm 7 days"|"USA"
244|"my busy home in the country"|"USA"
245|"ALLIANCE, NEBRASKA"|"USA"
246|"ft lauderdale fl"|"USA"
247|"Happy Holidays!"|"USA"
248|"Brookings,SD"|"USA"
249|"Breezewood PA"|"USA"
250|"Emmaus, PA"|"USA"
251|"oakland,california"|"USA"
252|"Floyd, Va. 24091"|"USA"
253|"SD, CA"|"USA"
254|"seattle"|"USA"
255|"Mukilteo, WA"|"USA"
256|"Rockford IL"|"USA"
257|"BLUE RIDGE MOUNTAINS"|"USA"
258|"Gainesville, FL"|"USA"
259|"Chillicothe ,Ohio"|"USA"
260|"saint etienne loire"|"France"
261|"Highland Beach, FL."|"USA"
262|"BEECH_BUM"|"USA"
263|"A H, N.J."|"USA"
264|"California, USA"|"USA"
265|"Alburtis, Pennsylvania"|"USA"
266|"PASSIN IT ON FROM MUSKOGEE, OKLAHOMA !"|"USA"
267|"Gallifrey"|"USA"
268|"Oberhausen"|"Germany"
269|"Lafayette, IN"|"USA"
270|"midvalley"|"USA"
271|"Southeast, MO"|"USA"
272|"Clinton, Michigan"|"USA"
273|"I LOVE ,LOVE LUCY!!!"|"Canada"
274|"PAY PAL ACCEPTED , I SHIP ANYWHERE!!"|"United Kingdom"
275|"duluth,mn"|"USA"
276|"Brooklyn, Ny"|"USA"
277|"NORTHERN OHIO"|"USA"
278|"ClickandCarry.com -=- Atlanta Offices"|"USA"
279|"Carmel, ME"|"USA"
280|"Beautiful Sunny CA"|"USA"
281|"Staten Island, NY ""USA"""|"USA"
282|"Cushing, TX."|"USA"
283|"1000 Islands, New York USA!!"|"USA"
284|"Attalla, Alabama -- Home of the Blue Devils!!"|"USA"
285|"OKC, Oklahoma"|"USA"
286|"Morgantown, WV"|"USA"
287|"Prague, OK"|"USA"
288|"Langlois, OR"|"USA"
289|"COLUMBUS, OH"|"USA"
290|"COOL PICTURES"|"USA"
291|"CONNELLSVILLE, PA."|"USA"
292|"ELYRIA, OHIO"|"USA"
293|"Eastern"|"USA"
294|"TIS THE SEASON"|"USA"
295|"Sarnia"|"Canada"
296|"salt lake city"|"USA"
297|"Rosedale, IN"|"USA"
298|"NY SAVE ON SHIPPING WIN MULTIPLE HALLMARKS"|"USA"
299|"1000 Isands, Ontario"|"Canada"
300|"PAY WITH PAYPAL"|"USA"
301|"Pembroke Pines, Florida"|"USA"
302|"Madison,WI"|"USA"
303|"Tigard,Oregon #97223"|"USA"
304|"St.Pete on the Bay"|"USA"
305|"Grand Forks ND"|"USA"
306|"AWESOME AUCTIONS! GREAT GIFTS W/fast shipping"|"USA"
307|"THE G SPOT 548 S. ANAHEIM BLVD. ANAHEIM 92805"|"USA"
308|"maryland"|"USA"
309|"CASSELTON, N.D"|"USA"
310|"SAC-TO .CA."|"USA"
311|"Water Row, MA"|"USA"
312|"AUTHENTIC FOR LIFE"|"USA"
313|"Peabody"|"USA"
314|"BRONCO LAND"|"USA"
315|"www.mybfc.com"|"USA"
316|"Bluegrass of Kentucky"|"USA"
317|"Crossroads of America!"|"USA"
318|"Collector Items- Rare VHS-WHOLESALE ITEMS"|"USA"
319|"Kasey's Closet"|"USA"
320|"Superheroville"|"USA"
321|"Lee's Tuesday Auction!!"|"USA"
322|"Midwest"|"USA"
323|"Grand Island, NE"|"USA"
324|"LEESBURG"|"USA"
325|"Patterson, NY"|"USA"
326|"San Francisco Bay Area, CA"|"USA"
327|"PENNY AUCTION SITE"|"USA"
328|"Toronto, Ontario, Canada"|"Canada"
329|"Hiram, GA ""Where JESUS Is LORD!"""|"USA"
330|"La Grange, NC"|"USA"
331|"The Beautiful Northwest"|"USA"
332|"Thanks for looking at my auction, good luck!"|"Canada"
333|"western ma"|"USA"
334|"DRACUT"|"USA"
335|"29525 Uelzen"|"Germany"
336|"LITHIA SPRINGS, GA."|"USA"
337|"Midwest, US"|"USA"
338|"St.Augustine Fl."|"USA"
339|"Ashland, KY"|"USA"
340|"Lovely Los Angeles, CA"|"USA"
341|"High on the Mountain!"|"USA"
342|"Great Falls.Mt."|"USA"
343|"La Porte, INDIANA"|"USA"
344|"Camarillo, CA."|"USA"
345|"waipahu"|"USA"
346|"Warwick, Qld"|"Australia"
347|"La Palma, CA"|"USA"
348|"Delmar, DE"|"USA"
349|"City of Lights"|"USA"
350|"Needmore PA"|"USA"
351|"brookville,ny"|"USA"
352|"Nashville, TN."|"USA"
353|"RIVERSIDE CA"|"USA"
354|"RICHMOND, N.Y."|"USA"
355|"Check out my other auctions!!!"|"USA"
356|"Heart of Dixie"|"USA"
357|"Malvern, Pa."|"USA"
358|"COVINGTON, WA"|"USA"
359|"Prompt shipping worldwide!"|"Australia"
360|"Midland Michigan"|"USA"
361|"Cayce South Carolina"|"USA"
362|"Gateway To The North"|"Canada"
363|"Northeast Georgia"|"USA"
364|"DOWN SOUTH"|"USA"
365|"Prineville, OR"|"USA"
366|"Athens, GA"|"USA"
367|"Pahrump, NV"|"USA"
368|"Up North"|"USA"
369|"tn"|"USA"
370|"Lindon, UT"|"USA"
371|"PERRIS, CA"|"USA"
372|"Sherwood, OR"|"USA"
373|"Beautiful ==_ NEW YORK!!!!"|"USA"
374|"BY THE BEACH!"|"USA"
375|"Land of the Living Skies"|"Canada"
376|"oakford,pa."|"USA"
377|"COASTAL MAINE"|"USA"
378|"Beaumont, TX"|"USA"
379|"Dutch Auction! Please view my other auctions!"|"Canada"
380|"Roseland, New Jersey"|"USA"
381|"Highland, CA"|"USA"
382|"EUGENE"|"USA"
383|"SUNNY FLORIDA! WHERE MOVIES RULE!"|"USA"
384|"The Great Plains of Nebraska"|"USA"
385|"Fat Bear Wear studios"|"USA"
386|"Burton, MI"|"USA"
387|"Pasadena, TX"|"USA"
388|"PARIS, TEXAS"|"USA"
389|"Peebles, OHIO"|"USA"
390|"Branson, MO."|"USA"
391|"WYANDOTTE, MI"|"USA"
392|"LOCKPORT IL"|"USA"
393|"Home of the Free & Land of the Brave"|"USA"
394|"Anchorage, AK"|"USA"
395|"Westby, WI"|"USA"
396|"SOUTHERN OHIO"|"USA"
397|"Aberdeen, SD"|"USA"
398|"The Extremely Friendly South!! :o)"|"USA"
399|"sf, ca."|"USA"
400|"Puyallup, Washington"|"USA"
401|"Wisconsin Dells,Wi"|"USA"
402|"Alexandria , Virginia"|"USA"
403|"MTL,CA"|"Canada"
404|"Corona"|"USA"
405|"MISSISSIPPI !!!!!!!!!!!!!"|"USA"
406|"Holden, MA"|"USA"
407|"See My Other Auctions!!"|"USA"
408|"Oregon!"|"USA"
409|"Schuylkill County, PA"|"USA"
410|"LINCOLN, NEBRASKA"|"USA"
411|"ARIZONA PLEASE SEE MY OTHER AUCTION'S"|"USA"
412|"Canberra"|"Australia"
413|"California ""Goonies"""|"USA"
414|"Hon, Hi"|"USA"
415|"Commack, New York"|"USA"
416|"Washington"|"USA"
417|"Wilsonville, OR"|"USA"
418|"Montgomery, AL"|"USA"
419|"ST.HELENS"|"USA"
420|"central pa."|"USA"
421|"Lynbrook, NY"|"USA"
422|"nashville"|"USA"
423|"Oswego, N.Y."|"USA"
424|"Check our Auctions for Great Xmas Gifts!"|"USA"
425|"16066"|"USA"
426|"PayPal accepted"|"USA"
427|"St.Louis"|"USA"
428|"san mateo,ca"|"USA"
429|"JOHNNA'S QUALITY BARGAINS"|"USA"
430|"Long Island New York"|"USA"
431|"NIMITZ HILL ESTATES, GUAM"|"USA"
432|"Broward County, FL"|"USA"
433|"LOS BANOS, CALIFORNIA"|"USA"
434|"Great for New Year's Party"|"USA"
435|"They are just TOO cute!"|"USA"
436|"FRANKLINVILLE, NJ"|"USA"
437|"montreal"|"Canada"
438|"Alberta, Canada"|"Canada"
439|"Suzie Q's Online"|"USA"
440|"Northwest Oklahoma"|"USA"
441|"The eBay Room"|"USA"
442|"Ashland, MO"|"USA"
443|"HAPPY HOLIDAYS!!"|"USA"
444|"GUARANTEED AUTHENTIC"|"USA"
445|"Southwest, MO"|"USA"
446|"CHIKY - CHIK MY OTHER AUCTIONS!!!"|"USA"
447|"Belleville, Illinois"|"USA"
448|"Ewing, Kentucky"|"USA"
449|"Dayton,Ohio"|"USA"
450|"Chicago Burbs"|"USA"
451|"St.Louis MO"|"USA"
452|"Western NY"|"USA"
453|"Salem,OR"|"USA"
454|"Land of Ahs"|"USA"
455|"VIEW MY OTHER AUCTIONS"|"USA"
456|"Zaandam_"|"Netherlands"
457|"Vancouver, BC"|"Canada"
458|"SEE MY OTHER AUCTIONS!!"|"USA"
459|"59"|"France"
460|"Louisiana"|"USA"
461|"St. Pete Beach"|"USA"
462|"DREAM CITY"|"USA"
463|"San Dimas, CA"|"USA"
464|"Olive Branch, MS"|"USA"
465|"TENNESSEE"|"USA"
466|"Berkeley, California"|"USA"
467|"Pasadena"|"USA"
468|"COMBINE AUCTIONS--$AVE $HIPPING!!"|"USA"
469|"Clarksville, TN"|"USA"
470|"HK"|"Hong Kong"
471|"Montgomery, TX"|"USA"
472|"Paducah, Kentucky"|"USA"
473|"Des Moines, Iowa"|"USA"
474|"Huntington, WV"|"USA"
475|"Mass"|"USA"
476|"N hollywood CA"|"USA"
477|"My Special Jacket Collection"|"USA"
478|"Fredonia, N.Y. USA"|"USA"
479|"Idabel"|"USA"
480|"Voorhees"|"USA"
481|"The Lone Star State"|"USA"
482|"Dallas, Ga"|"USA"
483|"Our Royal Collection"|"USA"
484|"Center Valley, PA"|"USA"
485|"Historic Philadelphia"|"USA"
486|"Palm Springs, CA"|"USA"
487|"Spanish Fork, Utah"|"USA"
488|"HAPPY HOLIDAYS ! :-)"|"USA"
489|"NEW YORK CITY--THANK YOU, AMERICA!!!!!!!!!!!!"|"USA"
490|"springfield,mo."|"USA"
491|"Bedford Texas Home of Team Wheels"|"USA"
492|"UTAH"|"USA"
493|"heather's closet"|"USA"
494|"HERMISTON , OREGON"|"USA"
495|"SEE MY OTHER AUCTIONS FOR MORE COOL STUFF!!!!"|"USA"
496|"new jersey"|"USA"
497|"GLADLY ACCEPTING PAYPAL & BIDPAY"|"USA"
498|"Sunnyvale, SF Bay Area"|"USA"
499|"Lake Elsinore"|"USA"
500|"PENNA"|"USA"
501|"Delaware Ohio"|"USA"
502|"CENTRAL, OHIO"|"USA"
503|"Internet"|"USA"
504|"Glen Rock, NJ"|"USA"
505|"Henderson, KY"|"USA"
506|"Space Coast"|"USA"
507|"upstate new york"|"USA"
508|"Reno"|"USA"
509|"Fort Payne, Al."|"USA"
510|"""God Bless America"""|"USA"
511|"~Chicago, Land of Coolaroni ~"|"USA"
512|"Albany,NY"|"USA"
513|"I LOVE to combine shipping!!!!!!!!!!"|"USA"
514|"Hoquiam"|"USA"
515|"COLTON, NY, FOOTHILLS OF THE ADIRONDACKS"|"USA"
516|"Asbury Park NJ Home of 200, 000 Auctions"|"USA"
517|"Havre de Grace,MD"|"USA"
518|"By The Beautiful Bay"|"USA"
519|"Grapeville, Pa."|"USA"
520|"Salmon Idaho"|"USA"
521|"Lafayette, GA"|"USA"
522|"Capital District of New York State"|"USA"
523|"EBAY POWER SELLER"|"USA"
524|"Historic Aiken, South Carolina"|"USA"
525|"CENTRAL OH"|"USA"
526|"oh"|"USA"
527|"Phoenix,Valley of the Sun."|"USA"
528|"Seattle, Washingtion"|"USA"
529|"LONG ISLAND,N.Y THANKS for 9,000+ POSITIVES"|"USA"
530|"NC *** PAYPAL ***"|"USA"
531|"Dayton, Ohio"|"USA"
532|"Monmouth County"|"USA"
533|"Mingo Jct. OH takes PayPal.com"|"USA"
534|"NW Arkansas"|"USA"
535|"Mid South"|"USA"
536|"Southern Tier-Finger Lakes"|"USA"
537|"Holiday Gifts Galore!"|"USA"
538|"Louisville, KY. U.S.A"|"USA"
539|"Dallas/Ft. Worth, TX"|"USA"
540|"DeWitt, MI"|"USA"
541|"77447"|"USA"
542|"locust grove"|"USA"
543|"Shrewsbury, PA"|"USA"
544|"South Fl."|"USA"
545|"Lincoln City, OR"|"USA"
546|"CENTRAL TEXAS"|"USA"
547|"Granbury Tx"|"USA"
548|"KIRKLAND,WA"|"USA"
549|"Season's Greetings From Mount Pleasant"|"USA"
550|"GRAYSON GA."|"USA"
551|"Hartford,CT"|"USA"
552|"Fairmont, WV"|"USA"
553|"HOPKINS"|"USA"
554|"Fort Collins"|"USA"
555|"Chattanooga, TN"|"USA"
556|"Shenandoah Valley, VA"|"USA"
557|"Sunny Fla"|"USA"
558|"Auburn, Kentucky"|"USA"
559|"deborahswigs.com"|"USA"
560|"Southern Alberta"|"Canada"
561|"GULF COAST"|"USA"
562|"New Deals!!!"|"USA"
563|"Cedar Falls, IA"|"USA"
564|"Litchfield"|"USA"
565|"in the house"|"USA"
566|"BEIJING"|"China"
567|"Murrysville, PA."|"USA"
568|"**THINK CHRISTMAS**"|"USA"
569|"Hugo, MN"|"USA"
570|"MILAN, MI"|"USA"
571|"Sayville"|"USA"
572|"Agawam, MA"|"USA"
573|"Plaistow N.H"|"USA"
574|"Northern Va."|"USA"
575|"Sanford & Sisters"|"USA"
576|"Casey's COLLECTIBLE CORNER, New York"|"USA"
577|"St Paul MN"|"USA"
578|"Boynton Beach, FL"|"USA"
579|"Land Of The Stars - California"|"USA"
580|"Orlando, Fl"|"USA"
581|"Johnstown, Pa"|"USA"
582|"Z?"|"USA"
583|"Hill Country of Texas"|"USA"
584|"HOMINY"|"USA"
585|"Jersey City, NJ"|"USA"
586|"The Fort, IN"|"USA"
587|"Alabaster, AL"|"USA"
588|"Edison"|"USA"
589|"IL."|"USA"
590|"Wayland MA"|"USA"
591|"West Seneca, NY"|"USA"
592|"Westlake, Ohio"|"USA"
593|"SHIP ANY WHERE"|"United Kingdom"
594|"Boston Mass"|"USA"
595|"Beautiful Iowa"|"USA"
596|"CENTRAL FLORIDA"|"USA"
597|"New York area"|"USA"
598|"Osage City, Kansas"|"USA"
599|"BETSY'S COLLECTIONS DONEGAL PA"|"USA"
600|"WIGS OF ROSALIE"|"USA"
601|"Norco, CA"|"USA"
602|"Westchester County, NY"|"USA"
603|"FPO/AP OKINAWA"|"USA"
604|"Beloit, Wisc."|"USA"
605|"Shipping $3.00 USA $4.00 Worlwide"|"Canada"
606|"WILD WONDERFUL WEST VIRGINIA"|"USA"
607|"phoenix"|"USA"
608|"www.denimdealer.com"|"USA"
609|"Save on combined shipping."|"USA"
610|"Yuba City, CA"|"USA"
611|"Seattle WA"|"USA"
612|"MY KITCHEN OFFICE IN YUMA"|"USA"
613|"Kennesaw, GA"|"USA"
614|"Jax Beach"|"USA"
615|"Midlands England"|"United Kingdom"
616|"Landover, Maryland"|"USA"
617|"STAMFORD,CT"|"USA"
618|"Northern NJ"|"USA"
619|"Mansfield"|"United Kingdom"
620|"MOTOWN, MI"|"USA"
621|"Edna, KS"|"USA"
622|"West Palm Beach FL"|"USA"
623|"lakeway"|"USA"
624|"Roanoke, Virginia"|"USA"
625|"Central Indiana"|"USA"
626|"Moses Lake WA"|"USA"
627|"devon"|"United Kingdom"
628|"Hollywood,FL"|"USA"
629|"South Western Ontario"|"Canada"
630|"Florence, AL--Kurious Goods--"|"USA"
631|"American Resale!"|"USA"
632|"Cranberry Township"|"USA"
633|"JOPLIN, MO."|"USA"
634|"Northern Az"|"USA"
635|"Pekin, IL"|"USA"
636|"WINDY WYOMING"|"USA"
637|"Mobile, AL :0)"|"USA"
638|"LE MANS"|"France"
639|"Abyss Records"|"USA"
640|"Pompano Beach, Florida"|"USA"
641|"Highlands Ranch, Colorado"|"USA"
642|"The WB of Ohio"|"USA"
643|"Lakeville, MN"|"USA"
644|"PayPal"|"USA"
645|"Toledo, Ohio"|"USA"
646|"Deland, FL"|"USA"
647|"LOS ANGELES, CALIFORNIA"|"USA"
648|"PHX,AZ."|"USA"
649|"Check out my other DIVERSE auctions!"|"USA"
650|"Wadsworth, Illinois"|"USA"
651|"WINDY CITY BY THE BIG BLUE POND"|"USA"
652|"Indianapolis, Indiana"|"USA"
653|"Atlanta, Georgia"|"USA"
654|"Yorba linda,ca.92887"|"USA"
655|"Wickliffe, Ohio"|"USA"
656|"Suitland"|"USA"
657|"Northern Wisconsin"|"USA"
658|"WEST MILFORD, NJ"|"USA"
659|"Mid-Northwest"|"USA"
660|"DETROIT"|"USA"
661|"CULVER CITY"|"USA"
662|"FAST SHIPPING! PAYPAL ONLY..."|"USA"
663|"AtomicPlanet.net"|"USA"
664|"APPLE SPRINGS, TX"|"USA"
665|"*Midtown, K.C.*"|"USA"
666|"USA - AND PROUD OF IT!"|"USA"
667|"Green Country, Oklahoma"|"USA"
668|"Niagara"|"USA"
669|"near the poconos"|"USA"
670|"Littlest State in the Union-RI"|"USA"
671|"New York City Area"|"USA"
672|"S.C. BEACH"|"USA"
673|"PLEASE DON'T FORGET TO VIEW MY OTHER AUCTIONS"|"USA"
674|"Mayberry, NC"|"USA"
675|"Pensacola"|"USA"
676|"Cincinnati, OH"|"USA"
677|"Bargaintown"|"USA"
678|"Macomb"|"USA"
679|"Auburn,ny"|"USA"
680|"Millville, N.J."|"USA"
681|"Northern KY"|"USA"
682|"Whitehorse, Yukon"|"Canada"
683|"valley stream, ny"|"USA"
684|"Cranberry PA."|"USA"
685|"Proctorville, Ohio 45669"|"USA"
686|"Australia"|"Australia"
687|"Stanton, CA"|"USA"
688|"Miami, Florida"|"USA"
689|"Central CA"|"USA"
690|"X-ville"|"USA"
691|"Mandan, North Dakota"|"USA"
692|"New Jersey -- Gateway to the Big Apple!"|"USA"
693|"Winterport, ME"|"USA"
694|"Montr_al, Canada"|"Canada"
695|"Inspiring Illinois"|"USA"
696|"www.light-by-the-sea.com"|"USA"
697|"Charlotte, NC"|"USA"
698|"Dearborn, Michigan"|"USA"
699|"COMBINE MULTIPLE AUCTIONS TO SAVE ON SHPPING!"|"USA"
700|"correggio"|"Italy"
701|"Cape May County, NJ"|"USA"
702|"THE RUG OUTLET !!!!!"|"USA"
703|"Massachusetts"|"USA"
704|"LOSE WEIGHT FAST & EASY - SEE MY DIET PILLS"|"USA"
705|"orange"|"USA"
706|"MACON GA."|"USA"
707|"Chino, CA"|"USA"
708|"Bay Area,CA"|"USA"
709|"macon, ga 31210"|"USA"
710|"West Linn, OR"|"USA"
711|"Wuppertal"|"Germany"
712|"Beloit, KS"|"USA"
713|"MAY GOD BLESS AMERICA"|"USA"
714|"Shore area, NJ"|"USA"
